,Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks,Spend,Conversions,Active,Campaign_Tag,Duration,click_through_rate,conversion_rate,cost_per_click,cost_acquisition
80,CMP-00081,Q2_Summer_CMP-00081,2023-03-26,2023-04-03,Email,90789,4046,5489.38,299.0,1,EM,8 days,0.044564870193525646,0.07390014829461196,1.3567424616905586,18.35913043478261
81,CMP-00082,Q4_Launch_CMP-00082,2023-05-16,2023-05-23,TikTok,56591,1829,1748.61,138.0,0,TI,7 days,0.032319626795780244,0.0754510661563696,0.9560470202296336,12.671086956521739
82,CMP-00083,Q1_BlackFriday_CMP-00083,2023-05-27,2023-06-07,Instagram,90812,2869,2803.46,258.0,1,IN,11 days,0.031592741047438665,0.08992680376437784,0.9771558034158243,10.866124031007752
83,CMP-00084,Q2_Winter_CMP-00084,2023-10-12,2023-11-04,Instagram,24247,275,533.98,18.0,0,IN,23 days,0.011341609271250051,0.06545454545454546,1.9417454545454547,29.665555555555557
84,CMP-00085,Q4_Summer_CMP-00085,2023-04-08,2023-04-16,Email,25300,1251,2298.8,105.0,1,EM,8 days,0.049446640316205534,0.08393285371702638,1.8375699440447644,21.893333333333334
85,CMP-00086,Q1_Winter_CMP-00086,2023-10-24,2023-11-23,Google Ads,75065,1119,1984.85,73.0,1,INVALID,30 days,0.014907080530207154,0.06523681858802502,1.7737712243074173,27.18972602739726
86,CMP-00087,Q2_Winter_CMP-00087,2023-07-08,2023-10-06,Instagram,83798,1612,1787.74,279.0,1,IN,90 days,0.01923673596028545,0.17307692307692307,1.1090198511166254,6.407670250896057
87,CMP-00088,Q2_BlackFriday_CMP-00088,2023-10-27,2023-11-25,Instagram,10268,123,64.03,8.0,0,IN,29 days,0.01197896377093884,0.06504065040650407,0.520569105691057,8.00375
88,CMP-00089,Q4_Winter_CMP-00089,2023-09-29,2023-10-10,Unknown,87807,3125,1938.54,506.0,1,XX,11 days,0.035589417700183354,0.16192,0.6203328,3.8311067193675887
89,CMP-00090,Q3_BlackFriday_CMP-00090,2023-02-11,2023-11-23,Instagram,13185,250,242.07,14.0,1,IN,285 days,0.018960940462646948,0.056,0.9682799999999999,17.290714285714284
90,CMP-00091,Q3_Launch_CMP-00091,2023-02-04,2023-03-06,Instagram,64704,1112,582.26,213.0,1,IN,30 days,0.01718595450049456,0.19154676258992806,0.523615107913669,2.7336150234741785
91,CMP-00092,Q1_Launch_CMP-00092,2023-03-03,2023-04-01,Google Ads,87779,1188,624.56,186.0,0,GO,29 days,0.013533988767245013,0.15656565656565657,0.5257239057239057,3.357849462365591
92,CMP-00093,Q2_Winter_CMP-00093,2023-10-24,2023-11-09,Google Ads,40099,566,1061.2,28.0,0,GO,16 days,0.014115065213596348,0.04946996466431095,1.8749116607773852,37.9
93,CMP-00094,Q1_Winter_CMP-00094,2023-08-03,2023-08-29,Unknown,9571,319,497.4,52.0,0,XX,26 days,0.03332985059032494,0.16300940438871472,1.5592476489028213,9.565384615384614
94,CMP-00095,Q4_Summer_CMP-00095,2023-06-11,2023-06-20,TikTok,39044,1465,1411.43,186.0,1,TI,9 days,0.03752177031041901,0.12696245733788397,0.9634334470989762,7.588333333333334
95,CMP-00096,Q1_Winter_CMP-00096,2023-06-10,2023-06-28,Google Ads,52214,1352,945.0,225.0,0,GO,18 days,0.025893438541387367,0.16642011834319526,0.6989644970414202,4.2
96,CMP-00097,Q3_Summer_CMP-00097,2023-12-10,2023-12-21,Email,62228,1816,2301.7,233.0,0,EM,11 days,0.029183004435302435,0.12830396475770925,1.2674559471365638,9.878540772532189
97,CMP-00098,Q4_Summer_CMP-00098,2023-02-26,2023-07-02,Unknown,49984,1871,950.5,273.0,0,XX,126 days,0.03743197823303457,0.1459112773917691,0.5080171031533939,3.4816849816849818
98,CMP-00099,Q4_BlackFriday_CMP-00099,2023-11-15,2023-12-11,Instagram,41774,446,850.8,74.0,0,IN,26 days,0.010676497342844832,0.16591928251121077,1.9076233183856501,11.497297297297298
99,CMP-00100,Q2_BlackFriday_CMP-00100,2023-02-07,2023-02-18,TikTok,3568,81,90.9,8.0,1,TI,11 days,0.022701793721973094,0.09876543209876543,1.1222222222222222,11.3625
100,CMP-00101,Q2_Summer_CMP-00101,2023-03-09,2023-04-01,TikTok,63592,3111,3433.0,156.0,0,TI,23 days,0.0489212479557177,0.05014464802314368,1.1035036965605916,22.006410256410255
101,CMP-00102,Q3_BlackFriday_CMP-00102,2023-05-06,2023-05-13,Google Ads,68563,2276,2471.49,403.0,1,GO,7 days,0.03319574697723262,0.17706502636203866,1.0858919156414761,6.13272952853598
102,CMP-00103,Q3_Summer_CMP-00103,2023-10-06,2023-11-04,Unknown,3695,74,44.7,7.0,0,XX,29 days,0.020027063599458727,0.0945945945945946,0.6040540540540541,6.385714285714286
103,CMP-00104,Q1_Winter_CMP-00104,2023-12-01,2023-12-06,Email,49190,1518,2212.46,188.0,1,EM,5 days,0.030859930880260216,0.12384716732542819,1.457483530961792,11.76840425531915
104,CMP-00105,Q4_BlackFriday_CMP-00105,2023-10-11,2023-10-22,TikTok,6258,148,236.73,7.0,1,TI,11 days,0.023649728347714925,0.0472972972972973,1.599527027027027,33.818571428571424
105,CMP-00106,Q4_BlackFriday_CMP-00106,2023-03-10,2023-04-05,Google Ads,88538,2770,4194.3,342.0,0,GO,26 days,0.03128600149088527,0.12346570397111914,1.514187725631769,12.264035087719298
106,CMP-00107,Q4_Winter_CMP-00107,2023-10-11,2023-11-01,Google Ads,40504,608,430.25,120.0,0,GO,21 days,0.015010863124629667,0.19736842105263158,0.7076480263157895,3.5854166666666667
107,CMP-00108,Q1_Launch_CMP-00108,2023-04-18,2023-05-07,Google Ads,34159,522,714.23,47.0,0,GO,19 days,0.015281477795017418,0.09003831417624521,1.368256704980843,15.196382978723404
108,CMP-00109,Q1_BlackFriday_CMP-00109,2023-11-21,2023-12-21,TikTok,14986,235,318.24,25.0,1,TI,30 days,0.015681302549045775,0.10638297872340426,1.3542127659574468,12.7296
109,CMP-00110,Q3_Launch_CMP-00110,2023-05-09,2023-05-17,Instagram,62858,2991,5391.63,457.0,0,IN,8 days,0.04758344204397213,0.15279170845870946,1.802617853560682,11.797877461706783
110,CMP-00111,Q4_Winter_CMP-00111,2023-02-17,2023-03-12,Email,13666,537,573.89,92.0,0,EM,23 days,0.03929459973657252,0.1713221601489758,1.0686964618249535,6.237934782608695
111,CMP-00112,Q4_BlackFriday_CMP-00112,2023-01-23,2023-02-11,Email,39660,654,691.43,73.0,0,EM,19 days,0.01649016641452345,0.11162079510703364,1.0572324159021407,9.471643835616439
112,CMP-00113,Q3_BlackFriday_CMP-00113,2023-03-08,2023-03-28,Instagram,4561,79,112.8,7.0,0,IN,20 days,0.017320762990572242,0.08860759493670886,1.4278481012658228,16.114285714285714
113,CMP-00114,Q1_Launch_CMP-00114,2023-08-15,2023-08-23,Facebook,27854,1092,1582.97,208.0,1,FA,8 days,0.039204423063114814,0.19047619047619047,1.449606227106227,7.610432692307692
114,CMP-00115,Q4_BlackFriday_CMP-00115,2023-01-05,2023-02-01,Facebook,65505,1064,1280.98,161.0,1,FA,27 days,0.016243034882833372,0.1513157894736842,1.2039285714285715,7.95639751552795
115,CMP-00116,Q1_Summer_CMP-00116,2023-12-20,2024-01-16,Facebook,53251,1032,1201.86,70.0,1,FA,27 days,0.01937991774802351,0.06782945736434108,1.164593023255814,17.16942857142857
117,CMP-00118,Q2_Summer_CMP-00118,2023-03-23,2023-07-03,Google Ads,9392,189,338.61,23.0,1,GO,102 days,0.02012350936967632,0.12169312169312169,1.7915873015873016,14.722173913043479
118,CMP-00119,Q3_Launch_CMP-00119,2023-07-06,2023-07-25,Facebook,31535,1149,1369.32,95.0,1,FA,19 days,0.0364357063580149,0.08268059181897303,1.1917493472584857,14.413894736842105
119,CMP-00120,Q2_Launch_CMP-00120,2023-01-21,2023-02-06,Facebook,79603,3912,7471.52,344.0,0,FA,16 days,0.04914387648706707,0.08793456032719836,1.9098977505112475,21.719534883720932
120,CMP-00121,Q1_Winter_CMP-00121,2023-05-08,2023-06-06,Email,53256,1329,1669.23,241.0,0,EM,29 days,0.024954934655250113,0.18133935289691497,1.2560045146726861,6.926265560165975
121,CMP-00122,Q4_Launch_CMP-00122,2023-10-14,2023-10-15,Instagram,90135,964,1854.54,61.0,1,IN,1 days,0.010695068508348587,0.06327800829875518,1.9237966804979252,30.402295081967214
122,CMP-00123,Q1_BlackFriday_CMP-00123,2023-11-14,2023-11-25,Facebook,36222,715,1250.71,112.0,1,FA,11 days,0.019739384904201865,0.15664335664335666,1.7492447552447552,11.167053571428571
123,CMP-00124,Q4_Launch_CMP-00124,2023-05-02,2023-05-19,Unknown,78373,3388,3535.88,307.0,1,XX,17 days,0.043229173312237634,0.09061393152302243,1.0436481700118063,11.517524429967427
124,CMP-00125,Q4_Summer_CMP-00125,2023-02-02,2023-04-01,Email,80575,3592,6449.3,589.0,0,EM,58 days,0.04457958423828731,0.16397550111358575,1.7954621380846325,10.949575551782683
125,CMP-00126,Q1_Winter_CMP-00126,2023-06-20,2023-06-24,Email,97354,3966,2637.77,628.0,1,EM,4 days,0.04073792550896727,0.1583459404942007,0.665095814422592,4.200270700636943
126,CMP-00127,Q1_Launch_CMP-00127,2023-12-09,2023-12-22,Instagram,85651,1244,2348.14,63.0,0,IN,13 days,0.014524056928699023,0.05064308681672026,1.8875723472668808,37.27206349206349
128,CMP-00129,Q4_BlackFriday_CMP-00129,2023-07-15,2023-07-20,TikTok,11965,559,325.11,39.0,0,TI,5 days,0.0467195988299206,0.06976744186046512,0.5815921288014312,8.336153846153847
129,CMP-00130,Q1_BlackFriday_CMP-00130,2023-04-24,2023-05-14,Facebook,25538,868,1272.82,156.0,0,FA,20 days,0.033988566058422744,0.17972350230414746,1.4663824884792627,8.159102564102565
130,CMP-00131,Q3_Launch_CMP-00131,2023-06-29,2023-07-10,Google Ads,71592,3410,6688.28,616.0,0,INVALID,11 days,0.04763102022572355,0.18064516129032257,1.9613724340175953,10.857597402597403
131,CMP-00132,Q2_Launch_CMP-00132,2023-04-27,2023-04-30,Google Ads,99018,4265,2579.05,480.0,0,GO,3 days,0.04307297663051162,0.11254396248534584,0.6047010550996483,5.373020833333333
132,CMP-00133,Q1_BlackFriday_CMP-00133,2023-07-24,2023-08-10,Facebook,9110,334,444.9,38.0,1,FA,17 days,0.03666300768386389,0.11377245508982035,1.3320359281437124,11.707894736842105
133,CMP-00134,Q4_Summer_CMP-00134,2023-05-23,2023-06-08,Facebook,80309,2657,4308.83,253.0,1,FA,16 days,0.03308471030644137,0.0952201731275875,1.6216898757997742,17.03094861660079
135,CMP-00136,Q2_Winter_CMP-00136,2023-01-15,2023-02-04,Google Ads,53992,883,989.61,91.0,1,GO,20 days,0.016354274707364055,0.10305775764439411,1.120736126840317,10.874835164835165
136,CMP-00137,Q3_Summer_CMP-00137,2023-04-02,2023-05-01,Google Ads,83948,2870,2313.94,258.0,1,GO,29 days,0.034187830561776336,0.08989547038327526,0.8062508710801394,8.96875968992248
137,CMP-00138,Q4_Summer_CMP-00138,2023-01-20,2023-02-18,Facebook,99806,2268,1278.05,260.0,1,FA,29 days,0.022724084724365268,0.1146384479717813,0.5635141093474426,4.915576923076923
138,CMP-00139,Q3_Launch_CMP-00139,2023-06-10,2023-07-04,Instagram,7910,353,483.47,22.0,0,IN,24 days,0.044627054361567636,0.06232294617563739,1.3696033994334278,21.97590909090909
140,CMP-00141,Q1_Winter_CMP-00141,2023-05-14,2023-11-05,Facebook,1206,48,92.31,2.0,1,FA,175 days,0.03980099502487562,0.041666666666666664,1.923125,46.155
141,CMP-00142,Q1_Launch_CMP-00142,2023-08-27,2023-12-08,TikTok,88054,1199,708.5,175.0,1,TI,103 days,0.013616644331887251,0.14595496246872394,0.5909090909090909,4.048571428571429
142,CMP-00143,Q3_BlackFriday_CMP-00143,2023-10-03,2023-10-16,Facebook,88897,1915,2926.3,148.0,0,FA,13 days,0.021541784312181515,0.07728459530026109,1.528093994778068,19.7722972972973
143,CMP-00144,Q2_Summer_CMP-00144,2023-12-10,2024-01-04,Google Ads,24419,350,188.11,29.0,0,GO,25 days,0.014333101273598428,0.08285714285714285,0.5374571428571429,6.486551724137931
146,CMP-00147,Q1_BlackFriday_CMP-00147,2023-06-03,2023-06-28,Facebook,55268,2599,3072.82,433.0,1,FA,25 days,0.04702540348845625,0.1666025394382455,1.1823085802231628,7.096581986143187
147,CMP-00148,Q4_Launch_CMP-00148,2023-06-17,2023-06-26,Instagram,88939,2448,3741.89,205.0,1,IN,9 days,0.027524483072667784,0.08374183006535947,1.528549836601307,18.253121951219512
148,CMP-00149,Q2_BlackFriday_CMP-00149,2023-03-07,2023-03-30,Facebook,19141,881,1643.35,67.0,1,FA,23 days,0.04602685335144455,0.07604994324631101,1.8653234960272416,24.527611940298506
149,CMP-00150,Q2_Summer_CMP-00150,2023-07-14,2023-07-19,Unknown,81356,3670,5352.87,660.0,1,XX,5 days,0.045110379074684105,0.17983651226158037,1.4585476839237057,8.11040909090909
150,CMP-00151,Q1_Launch_CMP-00151,2023-11-12,2023-11-24,Google Ads,72910,1654,3192.72,192.0,1,GO,12 days,0.022685502674530244,0.11608222490931076,1.9303022974607011,16.62875
151,CMP-00152,Q3_BlackFriday_CMP-00152,2023-01-01,2023-01-29,Email,57044,2553,4652.65,180.0,1,E-,28 days,0.04475492602201809,0.07050528789659224,1.8224245985115548,25.848055555555554
